"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"by order",20,5,0.759,0.759,0.759,-0.01,-0.007,163,117,-0.301,0.259,NA,NA,NA,0.156,0.156,0.156,0.526,0.526,0.526,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,3,0.507,0.683,0.771,-0.014,-0.012,28,8,-0.226,0.183,NA,NA,NA,0.155,0.178,0.192,0.438,0.588,0.708,0.006,0.07,0.17,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,4,0.673,0.789,0.83,-0.007,-0.003,28,8,-0.234,0.182,NA,NA,NA,0.146,0.156,0.166,0.567,0.618,0.673,0.006,0.03,0.045,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,5,0.851,0.851,0.851,-0.004,-0.001,28,8,-0.237,0.182,NA,NA,NA,0.144,0.144,0.144,0.637,0.637,0.637,0.017,0.017,0.017,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,3,0.546,0.738,0.798,-0.01,-0.012,9,87,-0.152,0.112,NA,NA,NA,0.141,0.164,0.185,0.491,0.64,0.729,0,0.055,0.165,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,4,0.743,0.851,0.878,-0.004,-0.006,9,57,-0.158,0.112,NA,NA,NA,0.135,0.144,0.155,0.619,0.666,0.711,0,0.028,0.057,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,5,0.919,0.919,0.919,0,-0.001,9,57,-0.162,0.113,NA,NA,NA,0.133,0.133,0.133,0.68,0.68,0.68,0,0,0,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,3,0.571,0.768,0.822,-0.01,-0.004,9,70,-0.17,0.078,NA,NA,NA,0.139,0.16,0.178,0.588,0.702,0.781,0,0.052,0.159,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,4,0.774,0.884,0.913,-0.003,0.001,9,70,-0.173,0.088,NA,NA,NA,0.133,0.141,0.153,0.69,0.725,0.762,0,0.022,0.034,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,5,0.951,0.951,0.951,0,0.004,9,70,-0.175,0.094,NA,NA,NA,0.131,0.131,0.131,0.737,0.737,0.737,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,3,0.61,0.805,0.865,-0.006,-0.004,91,70,-0.108,0.075,NA,NA,NA,0.139,0.158,0.176,0.657,0.747,0.812,0,0.051,0.148,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,4,0.809,0.921,0.947,0,0.001,91,70,-0.095,0.085,NA,NA,NA,0.132,0.14,0.152,0.742,0.768,0.801,0,0.02,0.04,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,5,0.983,0.983,0.983,0.003,0.005,91,70,-0.09,0.09,NA,NA,NA,0.131,0.131,0.131,0.779,0.779,0.779,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,3,0.642,0.821,0.879,-0.01,-0.009,76,42,-0.044,0.025,NA,NA,NA,0.138,0.154,0.173,0.702,0.772,0.829,0,0.051,0.153,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,4,0.826,0.937,0.964,-0.003,-0.003,94,42,-0.016,0.013,NA,NA,NA,0.13,0.137,0.15,0.77,0.793,0.825,0,0.016,0.023,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,5,NA,NA,NA,0,0,1,6,0,0,NA,NA,NA,0.128,0.128,0.128,0.803,0.803,0.803,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
