"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",50,4,0.698,0.836,0.911,-0.028,-0.029,79,57,-0.073,0.032,0.051,0.091,0.185,0.119,0.15,0.175,0.608,0.749,0.823,0,0.01,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,8,0.886,0.936,0.968,-0.007,-0.007,24,57,-0.017,0.009,0.029,0.049,0.104,0.115,0.131,0.148,0.746,0.804,0.847,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",50,12,0.94,0.969,0.983,-0.001,-0.001,103,42,-0.005,0.001,0.017,0.03,0.051,0.115,0.125,0.136,0.781,0.82,0.85,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,4,0.744,0.858,0.919,-0.028,-0.028,79,57,-0.071,0.033,0.045,0.084,0.184,0.119,0.146,0.168,0.673,0.781,0.841,0,0.008,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,8,0.913,0.955,0.975,-0.006,-0.006,24,57,-0.017,0.009,0.023,0.041,0.095,0.115,0.128,0.143,0.79,0.83,0.864,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"random",60,12,0.972,0.987,0.993,0,0,103,42,-0.002,0,0.011,0.019,0.033,0.116,0.123,0.13,0.826,0.845,0.866,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,5000,5000,5000
"by order",14,4,0.43,0.508,0.596,-0.058,-0.048,68,11,-0.436,0.258,NA,NA,NA,0.168,0.19,0.221,0.23,0.41,0.592,0.028,0.059,0.101,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",14,8,0.557,0.59,0.625,-0.038,-0.027,68,11,-0.425,0.267,NA,NA,NA,0.146,0.162,0.179,0.426,0.539,0.627,0,0.012,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",14,12,0.615,0.615,0.615,-0.033,-0.021,68,11,-0.425,0.27,NA,NA,NA,0.155,0.155,0.155,0.59,0.59,0.59,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,4,0.503,0.588,0.662,-0.047,-0.044,68,108,-0.369,0.186,NA,NA,NA,0.141,0.171,0.204,0.239,0.492,0.666,0,0.037,0.092,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,8,0.639,0.684,0.712,-0.027,-0.021,68,108,-0.349,0.208,NA,NA,NA,0.129,0.146,0.164,0.502,0.608,0.688,0,0.005,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,12,0.714,0.714,0.714,-0.021,-0.016,68,108,-0.345,0.214,NA,NA,NA,0.139,0.139,0.139,0.649,0.649,0.649,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,4,0.58,0.653,0.719,-0.037,-0.035,72,25,-0.403,0.135,NA,NA,NA,0.136,0.16,0.188,0.487,0.627,0.74,0,0.03,0.073,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,8,0.687,0.741,0.774,-0.017,-0.012,72,1,-0.404,0.152,NA,NA,NA,0.122,0.138,0.154,0.647,0.718,0.769,0,0.004,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,12,0.769,0.769,0.769,-0.011,-0.005,72,1,-0.405,0.161,NA,NA,NA,0.132,0.132,0.132,0.748,0.748,0.748,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,4,0.713,0.766,0.823,-0.021,-0.024,36,73,-0.199,0.125,NA,NA,NA,0.13,0.157,0.181,0.58,0.714,0.789,0,0.023,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,8,0.838,0.864,0.89,0,0.001,36,73,-0.185,0.134,NA,NA,NA,0.124,0.137,0.149,0.752,0.788,0.82,0,0.006,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,12,0.897,0.897,0.897,0.006,0.008,36,73,-0.182,0.136,NA,NA,NA,0.131,0.131,0.131,0.811,0.811,0.811,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,4,0.76,0.822,0.871,-0.024,-0.021,43,89,-0.192,0.063,NA,NA,NA,0.126,0.153,0.176,0.647,0.759,0.824,0,0.014,0.046,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,8,0.898,0.918,0.938,-0.002,0.001,43,99,-0.14,0.076,NA,NA,NA,0.123,0.134,0.147,0.79,0.819,0.847,0,0.004,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,12,0.951,0.951,0.951,0.004,0.008,43,99,-0.124,0.084,NA,NA,NA,0.129,0.129,0.129,0.837,0.837,0.837,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,4,0.802,0.854,0.891,-0.026,-0.025,43,39,-0.202,0.036,NA,NA,NA,0.122,0.149,0.17,0.688,0.79,0.845,0,0.013,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,8,0.923,0.948,0.963,-0.005,0,43,39,-0.14,0.05,NA,NA,NA,0.12,0.131,0.144,0.816,0.842,0.866,0,0.001,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,12,0.978,0.978,0.978,0.001,0.005,43,99,-0.121,0.055,NA,NA,NA,0.126,0.126,0.126,0.858,0.858,0.858,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,4,0.788,0.875,0.922,-0.027,-0.028,79,57,-0.071,0.033,NA,NA,NA,0.121,0.143,0.159,0.732,0.806,0.848,0,0.007,0.037,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,8,0.946,0.97,0.982,-0.006,-0.006,24,57,-0.017,0.009,NA,NA,NA,0.118,0.126,0.137,0.832,0.851,0.871,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,12,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,0.121,0.121,0.121,0.864,0.864,0.864,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
