"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"by order",14,15,0.554,0.554,0.554,-0.044,-0.018,79,57,-1.191,0.631,NA,NA,NA,0.357,0.357,0.357,0.647,0.647,0.647,0.009,0.009,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,5,0.439,0.581,0.703,-0.473,-0.478,107,57,-1.326,0.188,NA,NA,NA,0.27,0.301,0.338,0.519,0.611,0.694,0.009,0.059,0.138,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,10,0.619,0.67,0.71,-0.189,-0.178,107,57,-1.132,0.498,NA,NA,NA,0.292,0.312,0.33,0.636,0.679,0.714,0,0.004,0.028,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",20,15,0.698,0.698,0.698,-0.009,0.008,107,57,-0.993,0.688,NA,NA,NA,0.317,0.317,0.317,0.701,0.701,0.701,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,5,0.531,0.657,0.748,-0.466,-0.459,107,93,-1.368,-0.082,NA,NA,NA,0.244,0.275,0.319,0.621,0.699,0.778,0,0.041,0.101,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,10,0.705,0.748,0.782,-0.182,-0.168,107,93,-1.201,0.254,NA,NA,NA,0.262,0.29,0.31,0.707,0.761,0.792,0,0.001,0.018,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",30,15,0.778,0.778,0.778,-0.005,0.018,107,93,-1.074,0.453,NA,NA,NA,0.298,0.298,0.298,0.783,0.783,0.783,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,5,0.587,0.702,0.789,-0.47,-0.466,107,93,-1.426,-0.141,NA,NA,NA,0.225,0.252,0.284,0.673,0.737,0.795,0,0.031,0.083,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,10,0.737,0.786,0.827,-0.185,-0.179,107,93,-1.292,0.193,NA,NA,NA,0.248,0.271,0.284,0.76,0.799,0.817,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",40,15,0.812,0.812,0.812,-0.007,0.002,107,93,-1.183,0.392,NA,NA,NA,0.281,0.281,0.281,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,5,0.588,0.734,0.818,-0.476,-0.48,107,24,-1.443,-0.258,NA,NA,NA,0.213,0.24,0.273,0.709,0.769,0.824,0,0.027,0.064,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,10,0.773,0.823,0.861,-0.189,-0.174,107,93,-1.224,0.047,NA,NA,NA,0.238,0.258,0.271,0.793,0.824,0.841,0,0,0.009,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",50,15,0.855,0.855,0.855,-0.01,0.004,107,93,-1.045,0.244,NA,NA,NA,0.267,0.267,0.267,0.842,0.842,0.842,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,5,0.642,0.779,0.859,-0.476,-0.486,107,42,-1.455,-0.267,NA,NA,NA,0.205,0.229,0.261,0.741,0.79,0.84,0,0.022,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,10,0.815,0.867,0.901,-0.191,-0.18,107,72,-1.251,-0.046,NA,NA,NA,0.23,0.249,0.264,0.817,0.844,0.862,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",60,15,0.899,0.899,0.899,-0.013,0.002,107,72,-1.079,0.146,NA,NA,NA,0.259,0.259,0.259,0.861,0.861,0.861,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,5,0.774,0.873,0.923,-0.465,-0.489,60,42,-0.568,-0.255,NA,NA,NA,0.209,0.232,0.278,0.788,0.826,0.88,0,0.014,0.055,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,10,0.94,0.969,0.982,-0.179,-0.186,60,42,-0.206,-0.111,NA,NA,NA,0.231,0.25,0.263,0.845,0.867,0.88,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
"by order",70,15,NA,NA,NA,0,0,1,39,0,0,NA,NA,NA,0.259,0.259,0.259,0.881,0.881,0.881,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,NA,NA,NA
